index,date_key,date,day,month,year,month_string
1,20100101,2010-01-01,1,1,2010,January
2,20100102,2010-01-02,2,1,2010,January
3,20100103,2010-01-03,3,1,2010,January
4,20100104,2010-01-04,4,1,2010,January
5,20100105,2010-01-05,5,1,2010,January
6,20100106,2010-01-06,6,1,2010,January
7,20100107,2010-01-07,7,1,2010,January
8,20100108,2010-01-08,8,1,2010,January
9,20100109,2010-01-09,9,1,2010,January
10,20100110,2010-01-10,10,1,2010,January
11,20100111,2010-01-11,11,1,2010,January
12,20100112,2010-01-12,12,1,2010,January
13,20100113,2010-01-13,13,1,2010,January
14,20100114,2010-01-14,14,1,2010,January
15,20100115,2010-01-15,15,1,2010,January
16,20100116,2010-01-16,16,1,2010,January
17,20100117,2010-01-17,17,1,2010,January
18,20100118,2010-01-18,18,1,2010,January
19,20100119,2010-01-19,19,1,2010,January
20,20100120,2010-01-20,20,1,2010,January
21,20100121,2010-01-21,21,1,2010,January
22,20100122,2010-01-22,22,1,2010,January
23,20100123,2010-01-23,23,1,2010,January
24,20100124,2010-01-24,24,1,2010,January
25,20100125,2010-01-25,25,1,2010,January
26,20100126,2010-01-26,26,1,2010,January
27,20100127,2010-01-27,27,1,2010,January
28,20100128,2010-01-28,28,1,2010,January
29,20100129,2010-01-29,29,1,2010,January
30,20100130,2010-01-30,30,1,2010,January
31,20100131,2010-01-31,31,1,2010,January
32,20100201,2010-02-01,1,2,2010,February
33,20100202,2010-02-02,2,2,2010,February
34,20100203,2010-02-03,3,2,2010,February
35,20100204,2010-02-04,4,2,2010,February
36,20100205,2010-02-05,5,2,2010,February
37,20100206,2010-02-06,6,2,2010,February
38,20100207,2010-02-07,7,2,2010,February
39,20100208,2010-02-08,8,2,2010,February
40,20100209,2010-02-09,9,2,2010,February
41,20100210,2010-02-10,10,2,2010,February
42,20100211,2010-02-11,11,2,2010,February
43,20100212,2010-02-12,12,2,2010,February
44,20100213,2010-02-13,13,2,2010,February
45,20100214,2010-02-14,14,2,2010,February
46,20100215,2010-02-15,15,2,2010,February
47,20100216,2010-02-16,16,2,2010,February
48,20100217,2010-02-17,17,2,2010,February
49,20100218,2010-02-18,18,2,2010,February
50,20100219,2010-02-19,19,2,2010,February
51,20100220,2010-02-20,20,2,2010,February
52,20100221,2010-02-21,21,2,2010,February
53,20100222,2010-02-22,22,2,2010,February
54,20100223,2010-02-23,23,2,2010,February
55,20100224,2010-02-24,24,2,2010,February
56,20100225,2010-02-25,25,2,2010,February
57,20100226,2010-02-26,26,2,2010,February
58,20100227,2010-02-27,27,2,2010,February
59,20100228,2010-02-28,28,2,2010,February
60,20100301,2010-03-01,1,3,2010,March
61,20100302,2010-03-02,2,3,2010,March
62,20100303,2010-03-03,3,3,2010,March
63,20100304,2010-03-04,4,3,2010,March
64,20100305,2010-03-05,5,3,2010,March
65,20100306,2010-03-06,6,3,2010,March
66,20100307,2010-03-07,7,3,2010,March
67,20100308,2010-03-08,8,3,2010,March
68,20100309,2010-03-09,9,3,2010,March
69,20100310,2010-03-10,10,3,2010,March
70,20100311,2010-03-11,11,3,2010,March
71,20100312,2010-03-12,12,3,2010,March
72,20100313,2010-03-13,13,3,2010,March
73,20100314,2010-03-14,14,3,2010,March
74,20100315,2010-03-15,15,3,2010,March
75,20100316,2010-03-16,16,3,2010,March
76,20100317,2010-03-17,17,3,2010,March
77,20100318,2010-03-18,18,3,2010,March
78,20100319,2010-03-19,19,3,2010,March
79,20100320,2010-03-20,20,3,2010,March
80,20100321,2010-03-21,21,3,2010,March
81,20100322,2010-03-22,22,3,2010,March
82,20100323,2010-03-23,23,3,2010,March
83,20100324,2010-03-24,24,3,2010,March
84,20100325,2010-03-25,25,3,2010,March
85,20100326,2010-03-26,26,3,2010,March
86,20100327,2010-03-27,27,3,2010,March
87,20100328,2010-03-28,28,3,2010,March
88,20100329,2010-03-29,29,3,2010,March
89,20100330,2010-03-30,30,3,2010,March
90,20100331,2010-03-31,31,3,2010,March
91,20100401,2010-04-01,1,4,2010,April
92,20100402,2010-04-02,2,4,2010,April
93,20100403,2010-04-03,3,4,2010,April
94,20100404,2010-04-04,4,4,2010,April
95,20100405,2010-04-05,5,4,2010,April
96,20100406,2010-04-06,6,4,2010,April
97,20100407,2010-04-07,7,4,2010,April
98,20100408,2010-04-08,8,4,2010,April
99,20100409,2010-04-09,9,4,2010,April
100,20100410,2010-04-10,10,4,2010,April
101,20100411,2010-04-11,11,4,2010,April
102,20100412,2010-04-12,12,4,2010,April
103,20100413,2010-04-13,13,4,2010,April
104,20100414,2010-04-14,14,4,2010,April
105,20100415,2010-04-15,15,4,2010,April
106,20100416,2010-04-16,16,4,2010,April
107,20100417,2010-04-17,17,4,2010,April
108,20100418,2010-04-18,18,4,2010,April
109,20100419,2010-04-19,19,4,2010,April
110,20100420,2010-04-20,20,4,2010,April
111,20100421,2010-04-21,21,4,2010,April
112,20100422,2010-04-22,22,4,2010,April
113,20100423,2010-04-23,23,4,2010,April
114,20100424,2010-04-24,24,4,2010,April
115,20100425,2010-04-25,25,4,2010,April
116,20100426,2010-04-26,26,4,2010,April
117,20100427,2010-04-27,27,4,2010,April
118,20100428,2010-04-28,28,4,2010,April
119,20100429,2010-04-29,29,4,2010,April
120,20100430,2010-04-30,30,4,2010,April
121,20100501,2010-05-01,1,5,2010,May
122,20100502,2010-05-02,2,5,2010,May
123,20100503,2010-05-03,3,5,2010,May
124,20100504,2010-05-04,4,5,2010,May
125,20100505,2010-05-05,5,5,2010,May
126,20100506,2010-05-06,6,5,2010,May
127,20100507,2010-05-07,7,5,2010,May
128,20100508,2010-05-08,8,5,2010,May
129,20100509,2010-05-09,9,5,2010,May
130,20100510,2010-05-10,10,5,2010,May
131,20100511,2010-05-11,11,5,2010,May
132,20100512,2010-05-12,12,5,2010,May
133,20100513,2010-05-13,13,5,2010,May
134,20100514,2010-05-14,14,5,2010,May
135,20100515,2010-05-15,15,5,2010,May
136,20100516,2010-05-16,16,5,2010,May
137,20100517,2010-05-17,17,5,2010,May
138,20100518,2010-05-18,18,5,2010,May
139,20100519,2010-05-19,19,5,2010,May
140,20100520,2010-05-20,20,5,2010,May
141,20100521,2010-05-21,21,5,2010,May
142,20100522,2010-05-22,22,5,2010,May
143,20100523,2010-05-23,23,5,2010,May
144,20100524,2010-05-24,24,5,2010,May
145,20100525,2010-05-25,25,5,2010,May
146,20100526,2010-05-26,26,5,2010,May
147,20100527,2010-05-27,27,5,2010,May
148,20100528,2010-05-28,28,5,2010,May
149,20100529,2010-05-29,29,5,2010,May
150,20100530,2010-05-30,30,5,2010,May
151,20100531,2010-05-31,31,5,2010,May
152,20100601,2010-06-01,1,6,2010,June
