App,Country,Cost (credits),Beg_Date,End_Date
Total Cost,,128678800,,
Total joox Cost,,1179500,2015-08-01,2022-01-05
Total wynk Cost,,798900,2014-10-01,2022-01-05
Total gaana Cost,,11717200,2014-10-01,2022-01-05
Total soundcloud_app Cost,,19439900,2014-10-01,2022-01-05
Total deezer_app Cost,,20845600,2014-01-01,2022-01-05
Total amazon_app Cost,,10119400,2014-10-01,2022-01-05
Total tidal_app Cost,,13048700,2014-10-01,2022-01-05
Total youtube_music Cost,,19706200,2014-10-01,2022-01-05
Total resso_app Cost,,232800,2019-12-01,2022-01-05
Total apple_music Cost,,11884400,2017-08-01,2022-01-05
Total spotify Cost,,19706200,2014-10-01,2022-01-05
spotify,India,266300,2014-10-01,2022-01-05
spotify,Brazil,266300,2014-10-01,2022-01-05
spotify,Indonesia,266300,2014-10-01,2022-01-05
spotify,Mexico,266300,2014-10-01,2022-01-05
spotify,United States,266300,2014-10-01,2022-01-05
spotify,Egypt,266300,2014-10-01,2022-01-05
spotify,Turkey,266300,2014-10-01,2022-01-05
spotify,Colombia,266300,2014-10-01,2022-01-05
spotify,Pakistan,266300,2014-10-01,2022-01-05
spotify,Philippines,266300,2014-10-01,2022-01-05
spotify,Russian Federation,266300,2014-10-01,2022-01-05
spotify,France,266300,2014-10-01,2022-01-05
spotify,Argentina,266300,2014-10-01,2022-01-05
spotify,Germany,266300,2014-10-01,2022-01-05
spotify,Peru,266300,2014-10-01,2022-01-05
spotify,South Africa,266300,2014-10-01,2022-01-05
spotify,United Kingdom,266300,2014-10-01,2022-01-05
spotify,Viet Nam,266300,2014-10-01,2022-01-05
spotify,Thailand,266300,2014-10-01,2022-01-05
spotify,Japan,266300,2014-10-01,2022-01-05
spotify,Spain,266300,2014-10-01,2022-01-05
spotify,Ukraine,266300,2014-10-01,2022-01-05
spotify,Italy,266300,2014-10-01,2022-01-05
spotify,Malaysia,266300,2014-10-01,2022-01-05
spotify,Chile,266300,2014-10-01,2022-01-05
spotify,Poland,266300,2014-10-01,2022-01-05
spotify,Ecuador,266300,2014-10-01,2022-01-05
spotify,Nigeria,266300,2014-10-01,2022-01-05
spotify,"Korea, Republic of",266300,2014-10-01,2022-01-05
